-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 01/01/2021 
Location: Latitude  27.5706   Longitude 80.0982 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 142.28 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
-END HEADER-
YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,T2M,TS,ALLSKY_KT,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_LW_DWN
2020,1,1,-258.84,18.83,4.51,5.37,69.25,0.0,10.37,9.67,0.5,0.51,0.1,6.32,305.87
2020,1,2,-260.1,19.84,6.8,7.69,85.56,0.52,12.3,12.33,0.45,0.42,0.09,5.63,332.15
2020,1,3,-265.75,17.55,10.15,8.61,88.56,2.08,13.55,12.97,0.44,0.38,0.08,5.53,349.15
2020,1,4,-263.62,20.19,10.65,7.75,75.44,0.17,14.8,13.81,0.59,0.59,0.12,7.88,332.07
2020,1,5,-258.82,20.83,6.49,5.62,63.88,0.0,12.69,12.16,0.52,0.42,0.09,6.06,328.58
2020,1,6,-257.31,22.23,6.39,5.25,54.5,0.0,14.32,12.98,0.55,0.55,0.11,6.98,318.79
2020,1,7,-260.01,22.07,8.93,6.71,64.31,0.11,15.07,14.49,0.32,0.41,0.08,4.45,351.16
2020,1,8,-266.99,15.87,9.73,8.36,91.56,5.42,12.62,12.37,0.22,0.34,0.07,3.41,365.09
2020,1,9,-261.62,18.31,6.77,6.65,76.06,0.56,12.23,12.3,0.3,0.35,0.07,3.8,338.61
2020,1,10,-258.0,18.38,3.23,4.39,61.81,0.0,9.72,9.48,0.34,0.46,0.09,4.76,317.34
2020,1,11,-257.02,18.87,2.74,3.78,50.69,0.0,10.51,9.18,0.4,0.52,0.1,5.54,333.75
2020,1,12,-256.74,20.52,4.12,4.21,51.5,0.0,11.61,10.54,0.38,0.45,0.09,5.03,345.3
2020,1,13,-256.99,22.26,6.08,5.55,62.0,0.0,13.01,12.8,0.27,0.38,0.08,4.27,372.37
2020,1,14,-263.35,19.95,10.15,6.9,71.25,0.03,13.89,14.09,0.46,0.48,0.09,5.91,353.34
2020,1,15,-265.24,19.82,11.91,8.24,78.38,3.87,14.89,14.48,0.41,0.51,0.1,5.93,358.55
2020,1,16,-266.08,18.86,11.78,9.83,92.94,21.55,14.82,14.82,0.15,0.2,0.04,2.16,380.38
2020,1,17,-265.49,20.1,12.44,9.16,84.0,2.07,15.49,15.73,0.16,0.17,0.03,2.1,370.51
2020,1,18,-263.16,20.43,10.44,7.75,75.06,0.12,14.87,14.76,0.25,0.26,0.05,3.23,355.46
2020,1,19,-260.42,19.76,7.03,6.35,73.81,0.0,12.32,12.23,0.38,0.43,0.09,5.56,330.65
2020,1,20,-258.13,19.58,4.55,5.25,63.69,0.0,11.91,11.55,0.27,0.34,0.07,4.3,327.27
2020,1,21,-262.25,20.05,9.15,5.13,54.81,0.0,13.51,12.2,0.44,0.47,0.09,6.2,315.64
2020,1,22,-257.82,21.45,6.12,5.25,57.81,0.0,13.22,11.94,0.52,0.59,0.12,7.33,331.07
2020,1,23,-257.05,21.16,5.06,5.13,63.06,0.0,11.74,11.58,0.68,0.77,0.16,9.48,288.37
2020,1,24,-255.95,21.19,3.99,4.52,56.69,0.0,11.45,10.72,0.68,0.8,0.16,9.34,285.8
2020,1,25,-259.63,20.22,6.69,4.27,47.88,0.0,12.94,10.8,0.54,0.62,0.12,7.51,320.34
2020,1,26,-257.99,22.39,7.23,5.49,55.12,0.0,14.14,12.65,0.48,0.57,0.12,6.61,334.91
2020,1,27,-256.25,24.6,7.71,6.53,60.19,0.0,16.1,15.16,0.53,0.62,0.12,7.33,322.17
2020,1,28,-261.71,22.92,11.48,7.45,66.25,0.43,16.08,15.84,0.51,0.7,0.14,7.5,346.75
2020,1,29,-261.46,22.07,10.38,8.18,78.38,2.59,15.15,15.49,0.39,0.55,0.11,5.87,348.56
